generator	source	arguments	player_or_bus	category	peak	dc_offset	loop_seam	alternative_channel	status
create_paint_memory_recall_sound	scripts/audio/procedural_audio.gd:1861		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_biographical_erasure_glitch_sound	scripts/audio/procedural_audio.gd:1884		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station22_door_release_sound	scripts/audio/procedural_audio.gd:1909		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_designer_terminal_hum_sound	scripts/audio/procedural_audio.gd:1933		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_cursor_shift_glitch_sound	scripts/audio/procedural_audio.gd:1954		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_burden_ledger_scan_sound	scripts/audio/procedural_audio.gd:1978		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_designer_note_chime_sound	scripts/audio/procedural_audio.gd:2001		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station23_exit_unlatch_sound	scripts/audio/procedural_audio.gd:2027		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_cctv_static_hum_sound	scripts/audio/procedural_audio.gd:2051		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_correction_stress_siren_sound	scripts/audio/procedural_audio.gd:2073		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_intercom_wierzbicka_tone_sound	scripts/audio/procedural_audio.gd:2097		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_decision_button_latch_sound	scripts/audio/procedural_audio.gd:2121		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station24_door_release_sound	scripts/audio/procedural_audio.gd:2145		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_transit_rail_hum_sound	scripts/audio/procedural_audio.gd:2169		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_jakub_uniform_rustle_sound	scripts/audio/procedural_audio.gd:2193		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_scar_revelation_chime_sound	scripts/audio/procedural_audio.gd:2214		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_finger_edge_scrape_sound	scripts/audio/procedural_audio.gd:2239		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station25_door_release_sound	scripts/audio/procedural_audio.gd:2260		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_isolation_hum_sound	scripts/audio/procedural_audio.gd:2284		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_reconfiguration_chime_sound	scripts/audio/procedural_audio.gd:2306		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_wierzbicka_calming_tone_sound	scripts/audio/procedural_audio.gd:2331		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_motivation_scratch_sound	scripts/audio/procedural_audio.gd:2351		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station26_door_release_sound	scripts/audio/procedural_audio.gd:2376		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_service_tunnel_hum_sound	scripts/audio/procedural_audio.gd:2400		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_jakub_keycard_latch_sound	scripts/audio/procedural_audio.gd:2420		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_gratitude_confession_tone_sound	scripts/audio/procedural_audio.gd:2445		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_surface_danger_siren_sound	scripts/audio/procedural_audio.gd:2465		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station27_door_release_sound	scripts/audio/procedural_audio.gd:2485		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_moving_tram_motor_sound	scripts/audio/procedural_audio.gd:2506		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_track_switch_clack_sound	scripts/audio/procedural_audio.gd:2525		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_wierzbicka_closing_intercom_sound	scripts/audio/procedural_audio.gd:2549		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_paradox_peron_shimmer_sound	scripts/audio/procedural_audio.gd:2568		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station28_pneumatic_brake_sound	scripts/audio/procedural_audio.gd:2586		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_platform13_drip_echo_sound	scripts/audio/procedural_audio.gd:2604		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_flickering_neon_buzz_sound	scripts/audio/procedural_audio.gd:2623		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_deep_well_drone_sound	scripts/audio/procedural_audio.gd:2641		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_jakub_torch_click_sound	scripts/audio/procedural_audio.gd:2659		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station29_grate_creak_sound	scripts/audio/procedural_audio.gd:2677		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_transformer_oil_hum_sound	scripts/audio/procedural_audio.gd:2696		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_knife_switch_throw_sound	scripts/audio/procedural_audio.gd:2711		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_high_voltage_spark_sound	scripts/audio/procedural_audio.gd:2725		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_power_grid_relay_sound	scripts/audio/procedural_audio.gd:2737		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station30_door_release_sound	scripts/audio/procedural_audio.gd:2754		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_eleven_chairs_whisper_sound	scripts/audio/procedural_audio.gd:2768		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_wierzbicka_recitation_chime_sound	scripts/audio/procedural_audio.gd:2785		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_twelfth_chair_resonance_sound	scripts/audio/procedural_audio.gd:2800		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_variant_ledger_page_sound	scripts/audio/procedural_audio.gd:2815		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station31_pressure_hiss_sound	scripts/audio/procedural_audio.gd:2832		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_glass_condensation_wipe_sound	scripts/audio/procedural_audio.gd:2848		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_glass_stress_ring_sound	scripts/audio/procedural_audio.gd:2866		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_fire_memory_rumble_sound	scripts/audio/procedural_audio.gd:2882		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_consensus_stamp_reverberation_sound	scripts/audio/procedural_audio.gd:2898		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station32_hatch_unseal_sound	scripts/audio/procedural_audio.gd:2913		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_ladder_rung_climb_sound	scripts/audio/procedural_audio.gd:2933		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_depth_pressure_creak_sound	scripts/audio/procedural_audio.gd:2947		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_cable_trunk_pulse_sound	scripts/audio/procedural_audio.gd:2963		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_shaft_work_light_hum_sound	scripts/audio/procedural_audio.gd:2978		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station33_lower_hatch_sound	scripts/audio/procedural_audio.gd:2991		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_core_reactor_pulse_sound	scripts/audio/procedural_audio.gd:3006		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_biography_slider_drag_sound	scripts/audio/procedural_audio.gd:3020		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_core_thermal_alarm_sound	scripts/audio/procedural_audio.gd:3036		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_jakub_diagnostic_probe_sound	scripts/audio/procedural_audio.gd:3050		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station34_filtration_gate_sound	scripts/audio/procedural_audio.gd:3062		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_sedation_liquid_slosh_sound	scripts/audio/procedural_audio.gd:3076		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_sludge_valve_creak_sound	scripts/audio/procedural_audio.gd:3091		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_chemical_bubbler_sound	scripts/audio/procedural_audio.gd:3104		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_sedation_saturation_alarm_sound	scripts/audio/procedural_audio.gd:3117		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station35_drain_sluice_sound	scripts/audio/procedural_audio.gd:3129		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_storm_drain_torrent_sound	scripts/audio/procedural_audio.gd:3143		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_drain_weir_creak_sound	scripts/audio/procedural_audio.gd:3157		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_acid_ladder_clank_sound	scripts/audio/procedural_audio.gd:3170		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_groundwater_leak_alarm_sound	scripts/audio/procedural_audio.gd:3183		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station36_storm_gate_sound	scripts/audio/procedural_audio.gd:3196		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_signal_antenna_carrier_sound	scripts/audio/procedural_audio.gd:3210		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_cross_patchbay_plug_sound	scripts/audio/procedural_audio.gd:3224		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_crt_sweep_interference_sound	scripts/audio/procedural_audio.gd:3237		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_memory_injection_lever_sound	scripts/audio/procedural_audio.gd:3250		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station37_broadcast_gate_sound	scripts/audio/procedural_audio.gd:3263		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_accident_field_distortion_sound	scripts/audio/procedural_audio.gd:3277		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_jakub_destabilization_hum_sound	scripts/audio/procedural_audio.gd:3291		mapped by source-reference scan; Master bus	ambience	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_rescue_tether_chime_sound	scripts/audio/procedural_audio.gd:3305		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_coordinate_calculator_click_sound	scripts/audio/procedural_audio.gd:3317		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station38_reference_vault_door_sound	scripts/audio/procedural_audio.gd:3329		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_reference_core_harmonics_sound	scripts/audio/procedural_audio.gd:3343		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_branch_configuration_a_sound	scripts/audio/procedural_audio.gd:3358		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_branch_configuration_b_sound	scripts/audio/procedural_audio.gd:3372		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_branch_configuration_c_sound	scripts/audio/procedural_audio.gd:3386		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_station39_act4_gateway_sound	scripts/audio/procedural_audio.gd:3401		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_wierzbicka_personal_terminal_sound	scripts/audio/procedural_audio.gd:3415		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_marta_witness_presence_sound	scripts/audio/procedural_audio.gd:3430		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
create_szymon_transmission_feed_sound	scripts/audio/procedural_audio.gd:3445		mapped by source-reference scan; Master bus	interaction	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	measured by tools/pkg_0182_evidence.gd when callable without required args	critical state also represented visually/textually by contract	PASS
